tweetid,tweettimestamp,user,text,retweetedtext,is_retweet,is_quotestweet,F,P,V,ND1,ND2,ND3,ND4,ND5,D1,D2,D3,T,TP
9.99E+17,1527001357,NWS Aberdeen,"#OTD in 2010: An EF-4 tornado passed just north of Bowdle, #SD. Thank you for sharing, @RealMStanga!  #wxhistory https://t.co/yXwyJLdEs0",,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1530561264,NWS Aberdeen,Incredible crop damage from the early morning June 27th hailstorm. https://t.co/fbd5WTouwQ,,FALSE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1533390037,NWS Aberdeen,Severe weather possible this evening. #sdwx #mnwx https://t.co/X66zOAtlQO,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.00E+18,1528196130,NWS Aberdeen,Strong to severe storms possible late this afternoon through tonight. Large hail and damaging winds will be the main threats. https://t.co/IfRbfWl9K3,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.03E+18,1533320134,NWS Aberdeen,"@AbigailCIvy1 Yeah, we'll probably get some thunder from a line of showers/thunderstorm currently stretching from Frederick to Roscoe (although it's trying to stay north of us).",,FALSE,FALSE,1,1,1,probably,,,,,,,,1,1
1.01E+18,1530322533,NWS Aberdeen,Ping pong ball size hail reported 8 miles west of Mission Ridge at 832 pm CDT (732 pm MDT). 6/29/2018,,FALSE,FALSE,0,,,,,,,,,,,0,
1.02E+18,1532022067,NWS Aberdeen,"In addition to severe weather, widespread moderate to heavy rains fell across the area over the past 24 hours. Here's a listing of reports and an interactive radar estimated totals map as of this morning. #sdwx #mnwx https://t.co/Nv7hfFxFcx https://t.co/uzhVAoXs1l",,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527686386,NWS Aberdeen,"RT @NWSSiouxFalls: 20 years ago at 8:44 PM on May 30, 1998 a multi-vortex tornado ripped through the town of Spencer, SD.  Rated as a F-4,…","20 years ago at 8:44 PM on May 30, 1998 a multi-vortex tornado ripped through the town of Spencer, SD.  Rated as a F-4, the tornado cost six people their lives and changed the town forever. Today, we remember those that were impacted by the tornado that evening. https://t.co/Z2VxG0a7sg",TRUE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1534971665,NWS Aberdeen,An area of low pressure is expected to move across the area tomorrow and may spark strong to severe weather as it does so. #sdwx #mnwx https://t.co/ko9Iit1aAD,,FALSE,FALSE,1,1,1,expected,may,,,,,,,1,1
1.00E+18,1528210116,NWS Aberdeen,The enhanced risk for severe weather has been downgraded to just a slight chance for tonight. Anticipate some storms to develop this evening and after sunset from northern/western portions of SD northward across central/eastern ND. #sdwx #mnwx #ndwx https://t.co/CNiYMhzU2V,,FALSE,FALSE,1,0,,,,,,,,,,0,
9.89E+17,1524537836,NWS Aberdeen,April 23rd-27th is South Dakota's Severe Weather Awareness Week. Now is the time to switch gears and brush off your… https://t.co/Ks0ogjvVSx,NA,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1528487045,NWS Aberdeen,Thunderstorms will move through SD this evening through tomorrow morning. Some may be severe with hail and high winds. https://t.co/bAa2XBCS3I,,FALSE,FALSE,1,1,1,may ,,,,,,,,1,1
1.03E+18,1533435683,NWS Aberdeen,Storm approaching Pierre may contain up to dime size hail and 40 to 50 mph winds. Let us know what you get if it passes over you. 8-4-2018 #sdwx https://t.co/aOParuCEFt,,FALSE,FALSE,1,1,1,may ,,,,,,,,1,1
1.03E+18,1533322372,NWS Aberdeen,From the storm that just moved through Watertown:  The winds gusted to 52 mph at the airport and we received several pea sized hail reports.  Let us know if you received any hail.,,FALSE,FALSE,0,,,,,,,,,,,0,
1.02E+18,1531223395,NWS Aberdeen,@blaisekellerr Thanks for the photo Blaise!  Would it be ok if we used your photo?  Also do you know about what time the hail was falling?,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1530216748,NWS Aberdeen,"We have launched a special 19z weather balloon to better determine the state of the atmosphere ahead of potential severe weather later tonight. Here's the resulting sounding, from https://t.co/muf0hZauRi. #sdwx https://t.co/7ERSzifL13",,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1528996273,NWS Aberdeen,A frontal zone will bring showers and thunderstorms both Saturday and Saturday night with severe weather and heavy rainfall possible. https://t.co/qZZz2vQMwd,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.02E+18,1532302526,NWS Aberdeen,Here is a view of the severe storm as its crossing the interstate near Okaton @ 520pm from the SDDOT cam in Murdo #SDWX https://t.co/Nh4OvL6Nuv,,FALSE,FALSE,0,,,,,,,,,,,0,
1.02E+18,1532260380,NWS Aberdeen,"Severe Weather Late This Afternoon Through Late This Evening. Supercells Possible! Large Hail, Damaging Winds Will Accompany Storms Today an https://t.co/sf5GoZhkyG",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.04E+18,1536587722,NWS Aberdeen,"9/10/18 - 8:54 AM CDT: Thunderstorms are ongoing over Sully County and will continue to move southeast this morning. Be prepared for heavy rain, gusty winds, and small hail if these storms move over your location.  Remember, when thunder roars, go indoors! #SDwx https://t.co/9M2vMgH0zg",,FALSE,FALSE,1,0,,,,,,,,,,0,
1.02E+18,1530899813,NWS Aberdeen,"Sct. t-storms will continue into the afternoon, movg southeast. Locally hvy downpours, small hail, gusty winds and frequent lightning will be possible. #sdwx #mnwx https://t.co/O6EKhmHGN6",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.04E+18,1537900459,NWS Aberdeen,"In addition to small hail and gusty winds, showers and thunderstorms may contain brief funnel clouds this afternoon. https://t.co/TpFBEHOrUH",,FALSE,FALSE,1,1,1,may,,,,,,,,1,1
1.01E+18,1528458480,NWS Aberdeen,"Severe storms are possible, mainly tonight in south central SD. Hail and damaging winds will be the main threats. https://t.co/QGfSaHjAxq",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
9.98E+17,1526682475,NWS Aberdeen,"Here is a preliminary summary of severe weather from May 17 &amp; 18, 2018. https://t.co/WrxwxxPWZr",,FALSE,FALSE,0,,,,,,,,,,,0,
9.97E+17,1526601588,NWS Aberdeen,Large hail and ponding of water earlier in and near Eureka. Photos courtesy of Tanner Eggert. #sdwx https://t.co/OX0IQ2Idir,,FALSE,FALSE,0,,,,,,,,,,,0,
9.94E+17,1525915745,NWS Aberdeen,An animation displaying the spread of severe weather from south to north during the warm season. #svrwx https://t.co/PFr7AeMS4B,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1529750975,NWS Aberdeen,Storms today not expected to be severe but isolated tornado or two cant be ruled out in the James valley. For more info on non-supercell tornadoes: https://t.co/n3kfZech0J https://t.co/EqzaHOBMGm,,FALSE,FALSE,1,1,1,not expected,can't be ruled out,,,,,,,1,1
9.97E+17,1526600636,NWS Aberdeen,Some large hail and ponding of water occurred earlier in Eureka. #sdwx https://t.co/OJm2s3Ouuk,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1528652964,NWS Aberdeen,"A cold front will move through SD this evening bringing showers and Tstorms. Large hail, damaging winds, and tornadoes possible. https://t.co/bhVyILKAP1",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.00E+18,1527899870,NWS Aberdeen,Thunderstorms continue moving through central SD moving northeast. Winds nearing 70 mph and hail up to 1.75 inches has been reported. https://t.co/Kbfuaqs6CB,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1530484200,NWS Aberdeen,Today's MODIS satellite image highlights another hail scar across central South Dakota. This scar is from a supercell thunderstorm that moved through portions of Wyoming and South Dakota on June 29th and traveled over 420 miles! #SDwx #WYwx https://t.co/7Re4QdIfMQ,,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1528313389,NWS Aberdeen,Here is a review of the severe weather that occurred during the night of June 5th and early morning of June 6th.https://t.co/kkG4C261M7 https://t.co/W5xFpRIali,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1529172387,NWS Aberdeen,"Heavy rain, large hail, and damaging winds possible this afternoon through tonight. #sdwx #mnwx https://t.co/cbglLKTE2a",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.00E+18,1528368050,NWS Aberdeen,Storms are expected to form over western South Dakota and then move east overnight. Hail and damaging winds possible with some storms. https://t.co/p7Igzn5UK5,,FALSE,FALSE,1,1,1,expected ,possible ,,,,,,,1,1
1.03E+18,1534648515,NWS Aberdeen,Here's where the storms are this evening as of about 10 PM CDT. Movement has been to the north. Mostly some small hail and brief gusty winds along with heavy rain and frequent lightning have been reported. #sdwx https://t.co/lnpIDpPkSI,,FALSE,FALSE,0,,,,,,,,,,,0,
9.97E+17,1526610584,NWS Aberdeen,"@theSLABradio The Aberdeen area may still see some precipitation later tonight, but the chances for severe weather look fairly slim at this point.",,FALSE,FALSE,1,1,1,may,,,,,slim chance,,,3,3
1.02E+18,1531223660,NWS Aberdeen,@brentnathaniel @shawncable @blaisekellerr Thanks Brent! Do you know about what time the hail fell?,,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527676579,NWS Aberdeen,Low pressure to spark showers/storms mainly east of the Missouri today. Severe weather Friday? Stay tuned. #sdwx #mnwx https://t.co/qt8CPhRzv3,,FALSE,FALSE,1,0,,,,,,,,,,0,
1.02E+18,1531128503,NWS Aberdeen,A few storms are possible late this evening through tonight. Some storms maybe strong with hail and damaging winds the main threats. #sdwx # https://t.co/ZXHEjD9i9E,,FALSE,FALSE,1,1,1,possible,may,,,,,,,1,1
9.97E+17,1526593389,NWS Aberdeen,Sct. strong-severe storms will be possible for some tonight. Slight risk of severe weather remains west. #sdwx #mnwx https://t.co/ToPGlOiSQv,,FALSE,FALSE,1,1,1,possible ,,,,,,,,1,1
1.01E+18,1530311400,NWS Aberdeen,"As seen from space, a large swath of crops and other vegetation was destroyed by hail early Wednesday morning near Pierre. #sdwx https://t.co/us45mZGSJS",,FALSE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1533341130,NWS Aberdeen,Additional storms possible this evening and again on Saturday. Saturday's threats will include large hail and damaging winds. #sdwx #mnwx https://t.co/B5eoueo7Yw,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.03E+18,1535018170,NWS Aberdeen,"Severe storms this afternoon-evening. Be weather-aware! Check out your latest forecast at, https://t.co/Pi5HrHsUE1 https://t.co/X90Sk9TKER",,FALSE,FALSE,1,0,,,,,,,,,,0,
1.03E+18,1533292640,NWS Aberdeen,Severe storms possible later this afternoon through this evening. Hail and damaging winds will be the main threats. #sdwx #mnwx https://t.co/sL8CD4ehbk,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
9.91E+17,1525107891,NWS Aberdeen,"***UPDATE*** Isolated severe storms are possible, mainly late this afternoon and evening. Hail and gusty winds are… https://t.co/BC9SVw6ugT",NA,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.07E+18,1543932891,NWS Aberdeen,"#ICYMI, here is a big picture view of the snowstorm, severe weather outbreak this past weekend. #sdwx #mnwx",,FALSE,FALSE,0,,,,,,,,,,,0,
9.98E+17,1526847932,NWS Aberdeen,"RT @weather_history: Today is the 5th Anniversary of the Newcastle, South Oklahoma City, Moore, #OK EF-5 #tornado. Here is the Google Crisi…","Today is the 5th Anniversary of the Newcastle, South Oklahoma City, Moore, #OK EF-5 #tornado. Here is the Google Crisis Map showing the devastation following the storm. https://t.co/AfN2xPgVVp  #wxhistory https://t.co/1XDm7wc4hD",TRUE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1528967519,NWS Aberdeen,Hot and humid today with the risk for storms late. Main threat will be for hail and strong winds #SDWX https://t.co/aExvKRL6VY,,FALSE,FALSE,1,1,1,risk,,,,,,,,1,1
1.01E+18,1530325498,NWS Aberdeen,2 inch hail and 69 mph winds reported 3 miles north northwest of Mission Ridge at 854 pm CDT. 6/29/2018 #sdwx,,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527475805,NWS Aberdeen,A couple of strong to severe thunderstorms have developed across south central SD. Movement is NNE around 30 mph. Strong winds and some hail could be possible and will mainly affect portions of Jones and western Lyman Counties. #sdwx https://t.co/yGTQfZTuON,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.01E+18,1530326029,NWS Aberdeen,Quarter size hail 5 miles northwest of Onida at 926 pm CDT. 6/29/2018 #sdwx,,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527366747,NWS Aberdeen,Hot for Sun w/ readings closing in on 100! Thunderstorm chances are minimal tonight but will be increasing Sun night into Mon #SDWX https://t.co/A16PdhltnJ,,FALSE,FALSE,1,1,1,increased chance,,,,,minimal chance ,,,3,3
1.03E+18,1533240972,NWS Aberdeen,"Thunderstorm Safety: When Thunder Roars, Go Indoors! https://t.co/HYeM3cLm2f",,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1530112213,NWS Aberdeen,RT @shawncable: Jim Swenson took these photos of hail and flooding at Barger Park in Chamberlain earlier this AM. #sdwx @NWSSiouxFalls @NWS…,Jim Swenson took these photos of hail and flooding at Barger Park in Chamberlain earlier this AM. #sdwx @NWSSiouxFalls @NWSAberdeen https://t.co/32jKeMjlFY,TRUE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1533609064,NWS Aberdeen,Report: Small hail is covering the ground on the north side of Lake Kampeska - this storm will soon be entering Watertown. Heads up! #sdwx https://t.co/8ymM2maauX,,FALSE,FALSE,1,0,,,,,,,,,,0,
1.03E+18,1535310280,NWS Aberdeen,"@theSLABradio If we can get thunderstorms to develop, they may become supercells capable of all types of severe weather given the favorable environment. Those in the James River Valley and points east, into west central Minnesota, are the areas of most co",,FALSE,FALSE,1,1,1,may,,,,,,,,1,1
1.03E+18,1535311142,NWS Aberdeen,We have launched a special 19z balloon to help assess the state of the atmosphere ahead of potential severe weather. #sdwx https://t.co/1pi7nHmvnB,,FALSE,FALSE,0,,,,,,,,,,,0,
1.02E+18,1532980745,NWS Aberdeen,"@MitchellLauseng @brentnathaniel Good point. Since this wasn't a supercell thunderstorm (the type of thunderstorm that most commonly produces tornadoes), you won't see broad rotation in the clouds. Also, the cold air funnel was so small that it's impossib",,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1529000476,NWS Aberdeen,Severe t-storms with strong winds and damaging hail are possible tonight. The area with the biggest threat is north central SD. #sdwx #mnwx https://t.co/XbKEAQEqbP,,FALSE,FALSE,1,1,1,possible,biggest threat,,,,,,,1,1
1.03E+18,1533378996,NWS Aberdeen,Severe storms are possible the evening through tonight. Hail and damaging winds will be the main threats. https://t.co/bOP4uOAvoA,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
9.78E+17,1522004881,NWS Aberdeen,"RT @weather_history: March 25, 1948: The first tornado forecast was conducted by the Tinker Air Force Base in Oklahoma by E. Fawbush &amp; R. M…",NA,TRUE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527768117,NWS Aberdeen,"An Enhanced Risk for severe weather exists Friday, meaning numerous severe storms are possible. Stay tuned for updates and additional details later today and Friday. #sdwx #mnwx https://t.co/evMvEgPYAV",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.04E+18,1535830345,NWS Aberdeen,Some storms are possible later this evening through Sunday morning. Main threat from the storms will be large hail and damaging winds. https://t.co/I2Z3a4xEyi,,FALSE,FALSE,1,1,1,possible ,,,,,,,,1,1
1.01E+18,1529042363,NWS Aberdeen,"The system across the area has lost steam. Cant rule out an additional storm or two, but the severe weather risk is much diminished#SDWX https://t.co/Fec5eiXSNb",,FALSE,FALSE,1,1,1,can't be ruled out,diminished risk,,,,,,,1,1
1.02E+18,1531094265,NWS Aberdeen,"Severe storms will slide southeast across the ND/SD border into Marshall county shortly. Potential for large hail, damaging winds and even a tornado or two. #sdwx https://t.co/mbOQxsW6dK",,FALSE,FALSE,1,1,1,potential ,,,,,,,,1,1
1.04E+18,1535728576,NWS Aberdeen,**Update - 10 AM CDT** The slight risk for severe weather has expanded a bit farther west for later this afternoon and evening. Large hail up to 2 inches or more along with some isolated tornadoes will be possible. #sdwx #mnwx https://t.co/1Fl3hAIEKi,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.02E+18,1532523099,NWS Aberdeen,"Panorama of the roll cloud that moved into @NWSAberdeen - no severe weather with it, in fact our chances for moisture are just about done today #SDWX https://t.co/MCEwjyxOwl",,FALSE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1535298136,NWS Aberdeen,Strong to severe weather may develop around 6 pm and then track east through midnight generally north of Hwy 212. Stay aware! #sdwx #mnwx https://t.co/ocV2fqpLw7,,FALSE,FALSE,1,1,1,may,,,,,,,,1,1
1.01E+18,1529002198,NWS Aberdeen,We've just launched a special/extra weather balloon to further sample the atmosphere ahead of potential severe weather this evening. #sdwx https://t.co/0eyhSUM6mI,,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527846884,NWS Aberdeen,A strong cold front may spark strong to severe t-storms by this afternoon across the area. Be weather-aware out there today. #sdwx #mnwx https://t.co/0eZsJd0sUT,,FALSE,FALSE,1,1,1,may,,,,,,,,1,1
1.04E+18,1537477819,NWS Aberdeen,The bulk of this large storm system is on its way out of South Dakota. A flooding and severe weather threat remains for portions of Minnesota and southeastern South Dakota through tonight however. #sdwx https://t.co/wQwRG37FPe,,FALSE,FALSE,1,1,1,threat,,,,,,,,1,1
9.99E+17,1527095604,NWS Aberdeen,A Slight risk for severe weather has expanded east to the James River Valley. Large hail and damaging winds are the main threats this late afternoon and evening. #sdwx https://t.co/s6tCJiH8hn,,FALSE,FALSE,1,0,,,,,,,,,,0,
1.00E+18,1527901548,NWS Aberdeen,"While t-storms are producing strong winds in central SD, there are also strong winds in excess of 50 mph being measured in areas that are not directly associated with t-storms. Non-thunderstorm wind gusts of 50-55mph have been recorded and locally higher gusts are possible. #sdwx",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
9.84E+17,1523556495,NWS Aberdeen,Today (Thursday) is the statewide tornado drill for Minnesota &amp; Wisconsin. Outdoor sirens &amp; NOAA Weather Radio will… https://t.co/GzaQ8jloYD,NA,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1528230754,NWS Aberdeen,"After very hot temps today, there is the risk for severe storms overnight with hail and strong winds being the main threats #SDWX https://t.co/v5rFCijMXT",,FALSE,FALSE,1,1,1,risk ,,,,,,,,1,1
1.01E+18,1529031514,NWS Aberdeen,"Radar showing some scattered strong storms across Corson &amp; Dewey Counties. Progression northeasterly, half inch hail-wind gusts 40+ mph possible. #sdwx #ndwx https://t.co/9fzIpJOr9u",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.03E+18,1534894093,NWS Albuquerque,Severe storm moving northward along I-25 near Springer will be capable of producing large hail and high winds #nmwx https://t.co/gxSu5fgvLB,,FALSE,FALSE,1,0,,,,,,,,,,0,
1.03E+18,1534632247,NWS Albuquerque,"Storms near Zia Pueblo along Hwy 550 moving southeast toward #RioRancho and Bernalillo; look for heavy downpours, small hail and gusty winds between 5-6PM #nmwx https://t.co/rD44DYgTfc",,FALSE,FALSE,1,0,,,,,,,,,,0,
9.79E+17,1522183957,NWS Albuquerque,"Showers continue over much of NM, with a few isolated t-storms producing lightning and small hail. Snow can be expe… https://t.co/EGcDkqZ3uA",NA,FALSE,FALSE,1,0,,,,,,,,,,0,
1.02E+18,1532555371,NWS Albuquerque,"The storm north of Las Vegas, #NM has weakened considerably, but stay alert as new storms are forming near Gallinas. Environment is still favorable for more severe weather. #nmwx https://t.co/YDexIcezgx",,FALSE,FALSE,1,0,,,,,,,,,,0,
9.99E+17,1527124253,NWS Albuquerque,"RT @WeatherNation: WOW!! Did you see this hail? Up to teacup size hail fell near Las Vegas, NM on Wednesday in the town of Tecolotito. This…","WOW!! Did you see this hail? Up to teacup size hail fell near Las Vegas, NM on Wednesday in the town of Tecolotito. This hailstone measured the diameter of a condensed milk can! #nmwx https://t.co/gCxwXhCVO0",TRUE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1533334948,NWS Albuquerque,@cristinalcherry There may be a brief build up and some sprinkles this afternoon...otherwise it looks like #ABQ will be thunderstorm free this evening through Saturday. Look for another uptick in afternoon/evening storms Sunday. #nmwx,,FALSE,FALSE,1,1,1,may,,,,,,,,1,1
1.03E+18,1534600263,NWS Albuquerque,"The SPC has upgraded the northeast corner of NM, including Clayton and Raton, to a slight risk of severe thunderstorms today. Main threats will be large hail, damaging winds, lightning, and heavy rain. #nmwx https://t.co/85rNhsQfEI",,FALSE,FALSE,1,0,,,,,,,,,,0,
9.91E+17,1525041540,NWS Albuquerque,A thunderstorm wind gust to 61 mph was recorded east of Tucumcari! Lots of blowing dust is getting kicked up from t… https://t.co/z15qrV0PRt,NA,FALSE,FALSE,1,0,,,,,,,,,,0,
1.02E+18,1531625164,NWS Albuquerque,"Showers and thunderstorms are persisting across northern NM, but will gradually diminish this evening. The stronger storms will be capable of heavy rain and small hail.  #nmwx https://t.co/jSNJjpq7za",,FALSE,FALSE,1,0,,,,,,,,,,0,
1.02E+18,1533175190,NWS Albuquerque,RT @moore_pabst: Some mammatus clouds are popping up behind the thunderstorm hitting town right now. #NMwx https://t.co/taMvqg5XvP,Some mammatus clouds are popping up behind the thunderstorm hitting town right now. #NMwx https://t.co/taMvqg5XvP,TRUE,FALSE,0,,,,,,,,,,,0,
1.03E+18,1533768223,NWS Albuquerque,"RT @MisterZinOKC: US 64 inundated about 3 mi west of Ute Park, NM! Trees took beating by hail too. @NWSAlbuquerque #nmwx @spann @ReedTimmer…","US 64 inundated about 3 mi west of Ute Park, NM! Trees took beating by hail too. @NWSAlbuquerque #nmwx @spann @ReedTimmerAccu https://t.co/eJZE4Ya7Sz",TRUE,FALSE,0,,,,,,,,,,,0,
