long_torhit_time,long_torhit_resp,long_torhit_nothing,long_torhit_monitor,long_torhit_prepare,long_torhit_shelter,long_torhit_nonshelter,long_torhit_conshelter,long_torhit_leave,long_torhit_leave_shelter,long_torhit_leave_avoid,long_torhit_not_sure,long_torhit_other
8,prepare my family to move to a near shelter ,,,1,,,,,,,,
4,take shelter,,,,1,,,,,,,
4,STAY INDOORS AND LISTEN TO THE NEWS,,1,,1,,,,,,,
4,ydyhbrtgsr,,,,,,,,,,,1
4,Drive to a more shelter like structure such as indoor mall or arena parking lot.,,,,,,,,1,,,
4,bhdfghbdghbdhg,,,,,,,,,,,1
4,I would pack up my stuff and try to get out of the area. ,,,,,,,,,1,,
8,"Monitor the progress of the tornado by listing the the TV, radio, and weather app on my phone",,1,,,,,,,,,
4,consider fleeing the area,,,,,,,,,1,,
4,Unsure,,,,,,,,,,1,
8,run,,,,,,,1,,,,
8,look for a shelter and check with my families and alert them about the tornado ,,,1,,,,,,,,
4,relocate to a safer area,,,,,,,,,1,,
8,HEAD FOR COVER,,,,1,,,,,,,
4,wait to see,,1,,,,,,,,,
4,Look up tornado shelters nearby in case things get worse,,,1,,,,,,,,
4,take cover,,,,1,,,,,,,
4,take cover,,,,1,,,,,,,
8,I would listen to the warning and follow the instructions given.,,1,,,,,,,,,
4,Take shelter wherever I am at.,,,,1,,,,,,,
4,ghhffh,,,,,,,,,,,1
4,i can not,,,,,,,,,,,1
4,check all areas of the house to find the best area of protection,,,1,,,,,,,,
8,me mudo para otro lado,,,,,,,1,,,,
8,seek shelter,,,,1,,,,,,,
8,"See if I have time to leave the area, otherwise go and get bottled water and canned food and hide out in my basement",,,1,,,,1,,,,
4,GET TO A ROOM AND LOOK FOR SAFETY.,,,,1,,,,,,,
8,seek a shelter,,,,1,,,,,,,
8,monitor the weather and go to shelter when needed,,1,,1,,,,,,,
4,Probably vacate for a safer location.,,,,,,,,,1,,
4,I would stay in my house and go downstairs when I receive tornado warning.,,,,1,,,,,,,
4,go in my basement,,,,,1,,,,,,
8,na,,,,,,,,,,,1
4,MOVE AWAY FROM THE AREA,,,,,,,,,1,,
4,GO TO A SHELTER,,,,1,,,,,,,
4,seek shelter elsewhere,,,,,,,,1,,,
8,I would go to the nearest location for protection in the area.,,,,,,,,1,,,
4,leave  and find a safe place  ,,,,,,,,1,,,
8,Stay home and take shelter.,,,,1,,,,,,,
8,Keep checking the news,,1,,,,,,,,,
4,"always prepared for the worst
",,,1,,,,,,,,
8,LEAVE!,,,,,,,1,,,,
8,Will move to the nearest designated place to protect against hurricanes,,,,,,,,1,,,
4,go to my house and go to my refuge,,,,1,,,,,,,
8,go to secure shelter,,,,,,,,1,,,
8,Turn on radio and follow instructions,,1,,,,,,,,,
8,Probably go to the nearest tornado shelter.,,,,,,,,1,,,
4,Stay in a safe place in my home,,,,1,,,,,,,
8,pack my stuff and go,,,1,,,,1,,,,
4,Find a safe area,,,1,,,,,,,,
4,stay in the area and monitor situation,,1,,,,,,,,,
4,Find shelter,,,,1,,,,,,,
8,I would get supplies I need then go to a protective place with the supplies.,,,1,,,,,1,,,
4,I would do nothing.,1,,,,,,,,,,
8,I would prepare myself as best as possible and warn others of this.,,,1,,,,,,,,
4,try to find a tornado shelter to go to,,,,,,,,1,,,
4,"pack up supplies, fill car up, leave. ",,,1,,,,1,,,,
4,Move to our safe room,,,,,1,,,,,,
8,Take shelter in the tub,,,,,1,,,,,,
8,Would leave and go to a safer place,,,,,,,1,,,,
8,looking for my family and keep safe,,,1,,,,,,,,
8,I dont know,,,,,,,,,,1,
8,If at home I would try to get to my son's or sister's house where they have basements and stay until the warning was over.,,,,,,,,1,,,
8,Seek out a more secure shelter location.,,,,,,,,1,,,
8,secure my home and leave the location,,,1,,,,1,,,,
8,Drive out of the predicted path,,,,,,,,,1,,
4,prepare for it in the best way I know how,,,1,,,,,,,,
8,Don't know,,,,,,,,,,1,
8,go to shelter with essentials,,,1,1,,,,,,,
8,,,,,,,,,,,,1
8,prepare for emergency,,,1,,,,,,,,
4,take protective measures to secure residents,,,1,,,,,,,,
4,continue motoring the situation and stay inform,,1,,,,,,,,,
4,"Inform family members, start gathering necessities, drive away from home",,,1,,,,1,,,,
8,"I would go into the master bathroom and take cover with blankets, getting into the bathtub.",,,,,1,,,,,,
4,k,,,,,,,,,,,1
4,,,,,,,,,,,,1
4,"Take shelter in my home, my safe place.",,,,1,,,,,,,
4,get more information ,,1,,,,,,,,,
8,monitor the situation,,1,,,,,,,,,
8,find a safe and secure place,,,,,,,,1,,,
8,pack up some things and drive out of range i think ,,,1,,,,,,1,,
4,I`ll prepared the house as much as possible I would take the most valuable and my family to the refuge,,,1,1,,,,,,,
4,get to a shelter,,,,,,,,1,,,
8,Make plans to arrive home early.,,,1,,,,,,,,
8,stay home,,,,1,,,,,,,
4,get food and water together then make sure all the pets are with me and take shelter,,,1,1,,,,,,,
8,get to safety out of the area,,,,,,,,,1,,
4,monitor the situation,,1,,,,,,,,,
8,stay home and monitor the situation,,1,,1,,,,,,,
8,I would evacuate from my location,,,,,,,,,1,,
4,na,,,,,,,,,,,1
4,kj,,,,,,,,,,,1
8,"Again, stay at home, safe and sound.",,,,1,,,,,,,
8,Shelter in place,,,,1,,,,,,,
4,Monitor the weather channels and watch my phones for alerts,,1,,,,,,,,,
4,"look for a place to stay, at home or near",,,1,,,,,,,,
8,hiria aun lugar seguro,,,,,,,1,,,,
4,"I would keep the news on and pay attention to how close it might be getting, put flower pots and garbage can in the garage.",,1,1,,,,,,,,
8,Stay home in the basement,,,,,1,,,,,,
8,Turn on the radio and TV and monitor warnings.,,1,,,,,,,,,
4,"Monitor the weather, prepare to move to safety.",,1,1,,,,,,,,
8,keep listening/watching news,,1,,,,,,,,,
8,Watch weather report and keep watch with weather online.,,1,,,,,,,,,
4,no,,,,,,,,,,,1
4,"Prepare as much as I can. Stay put and not leave the home, but if I'm out I will leave and get home if I am able. ",,,1,1,,,,,,,
8,stay away from windows in my home,,,,,1,,,,,,
8,get prepared to go to a safe place,,,1,,,,,,,,
8,make plans to protect me at that time,,,1,,,,,,,,
4,secure all the windows & doors Go to the basement,,,1,,1,,,,,,
4,I would first call everyone who lives in my household. Plan where to meet and grab as much as possible from my house. ,,,1,,,,,,,,
4,watch weather and monitor bodcasts,,1,,,,,,,,,
8,Drive away from the location,,,,,,,,,1,,
8,Try to get to a shelter,,,,,,,,1,,,
8,Move to a safe place,,,,,,,,1,,,
4,I gather my family and I go to the nearest shelter,,,1,,,,,1,,,
4,make sure everything is secure,,,1,,,,,,,,
4,look for the nearest safe shelter,,,1,,,,,,,,
8,would make sure everyone was aware of thread and make sure everyone was involved in plan for shelter ,,,1,,,,,,,,
8,Go to a safe shelter,,,,,,,,1,,,
8,"i monitor situation, depending on if im at home or work and do what i can do",,1,,,,,,,,,
8,leave the area,,,,,,,,,1,,
8,bring food and water to the nearest shelter.,,,1,,,,,1,,,
8,nothing at all,1,,,,,,,,,,
8,no comment,1,,,,,,,,,,
8,"Get out of town
",,,,,,,,,1,,
8,no,,,,,,,,,,,1
8,na,,,,,,,,,,,1
4,evuate ing go to shelters.,,,,,,,,1,,,
4,Monitor the situation and try to make arrangements to find the safest place to be,,1,1,,,,,,,,
4,jhgjhgkjgh,,,,,,,,,,,1
8,don't know,,,,,,,,,,1,
8,go in the storm shelter when it is the correct time,,1,,,,1,,,,,
4,no idea,,,,,,,,,,1,
4,me terme en la mesa,,,,,1,,,,,,
8,I would run quickly to a safe place,,,,,,,,1,,,
4,Take shelter in the safest area possible.,,,,1,,,,,,,
4,,,,,,,,,,,,1
8,I DO NOT KNOW,,,,,,,,,,1,
8,none,1,,,,,,,,,,
4,make plans to go somewhere safe,,,1,,,,,,,,
4,wait at home till more news come,,1,,,,,,,,,
8,2,,,,,,,,,,,1
4,Monitor the situation and find a safe place in the house.,,1,,,1,,,,,,
8,go to safe place,,,,,,,,1,,,
4,Hide,,,,1,,,,,,,
8,Try to find shelter,,,1,,,,,,,,
4,Question the report since we don't get tornadoes only thundertorms.,,1,,,,,,,,,
4,"seal up as best we can
",,,1,,,,,,,,
4,Leave the premises.,,,,,,,1,,,,
8,BUNKER DOWN IN BATHROOM,,,,,1,,,,,,
8,"
I meet my husband and children and we go to a shelter",,,1,,,,,1,,,
4,I will prepare my suitcase and drive to the closest city,,,1,,,,1,,,,
4,na,,,,,,,,,,,1
4,secure small outdoor items,,,1,,,,,,,,
4,like,,,,,,,,,,,1
4,Wait until sirens go off and then seek shelter within my residence. ,,1,,1,,,,,,,
8,Get ready for the tornado,,,1,,,,,,,,
8,normal activities plus turn on TV,,1,,,,,,,,,
8,Find best and safest location to be when tornado hits.,,,1,,,,,,,,
4,Locate a safe have,,,1,,,,,,,,
4,get to secure location,,,,,,,,1,,,
4,"fill vehicle with gasoline.  Gather candles, flashlight, water and food to an intermost room where we will seek shelter.  board up windows.",,,1,,,,,,,,
8,ssek shelter gather emergency supply kits and find a aplace to shelter underground or somewhere to stay safe as possible,,,1,1,,,,,,,
8,TAKE COVER IN MY HOUSE,,,,1,,,,,,,
8,Go to the first floor bathroom and take shelter there.,,,,,1,,,,,,
8,get eoververything i will need to last unyil it is ,,,1,,,,,,,,
4,take my family and pets to the small bathroom in the center of the house,,,1,,1,,,,,,
4,Start gathering a few items and move to a more protected part of my home.,,,1,,1,,,,,,
4,running away,,,,,,,1,,,,
8,I would prepare for the tornado in case it hits,,,1,,,,,,,,
8,Stay indoors,,,,1,,,,,,,
4,same as before,,,,,1,,,,,,
8,,,,,,,,,,,,1
4,"I would prepare to take protective action, ensuring that I had everything that I needed until the tornado passed.",,,1,,,,,,,,
4,I would take the time to pack some things and then go to the hurricane shelter.,,,1,,,,,1,,,
4,"Go to the inner most bathroom, with no windows, and sit in the bath tub until the all clear is issued.",,,,,1,,,,,,
4,I would not receive the notice because I would be asleep.,1,,,,,,,,,,
8,Go to the basement after alerting me husband,,,1,,1,,,,,,
4,move location,,,,,,,1,,,,
4,nothing,1,,,,,,,,,,
4,I would seek the most comfortable and sheltered place in my home,,,,1,,,,,,,
8,leave the area,,,,,,,,,1,,
8,I would monitor the situation closely.,,1,,,,,,,,,
4,nothing,1,,,,,,,,,,
4,Stay indoors. ,,,,1,,,,,,,
4,prepare the basement with all I need to survive,,,1,,,,,,,,
4,get home and take shelter,,,,1,,,,,,,
8,stay in my house ,,,,1,,,,,,,
8,PREPARE,,,1,,,,,,,,
4,seek shelter,,,,1,,,,,,,
8,I will listen to radio broadcast so I can determine what action to take if any.,,1,,,,,,,,,
4,I WOULNT GO TO WORK IF THAT HAPPENS,,,,1,,,,,,,
8,nothing,1,,,,,,,,,,
8,"make sure i have food, water, flashlights, candles & a sheltered area in my home",,,1,,,,,,,,
8,find shelter,,,,1,,,,,,,
4,move to a secure location,,,,,,,,1,,,
4,i would stay home,,,,1,,,,,,,
4,I would keep monitoring and stay inside my house,,1,,1,,,,,,,
8,Try to stay in a secure solid building or area  ,,,,1,,,,,,,
8,I would get into my basement.,,,,,1,,,,,,
4,Prepare and plan to get to a safe location.,,,1,,,,,,,,
4,in hide in a safe place inside my house ,,,,1,,,,,,,
4,Run to shelter,,,,,,,,1,,,
4,go shopping and take protective measures,,,1,,,,,,,,
4,88,,,,,,,,,,,1
8,I am not very confident,,,,,,,,,,,1
8,Now that's a difficult time because I would be in class and away from my family.  Here I would need to made sure the students are in a protected area and hope the caregivers of my grandchildren are doing the same.,,,1,,,,,,,,
8,i have enough time to plan to get out,,,1,,,,1,,,,
8,I would hunker down for the day.,,,,1,,,,,,,
4,nooooooo,,,,,,,,,,,1
4,saldria y m pondria a salbo en un refugio,,,,1,,,,,,,
4,take shelter,,,,1,,,,,,,
8,"continue doing what i planned to do.  errands, work, etc",1,,,,,,,,,,
8,I would stay at work because that would be more of a secure location,,,,1,,,,,,,
4,monitor and take cover,,1,,1,,,,,,,
4,I would try to find the safest place to stay to ride out the situation,,,1,,,,,,,,
8,brgfdbv fnbn f  nfbv nfbv hjfbvyfhbv bnc bnfb bhjfhb nnm,,,,,,,,,,,1
8,Take the necessary precations to resolved the problem.,,,1,,,,,,,,
4,Take anything important and get somewhere away and safe from the tornado,,,1,,,,,,1,,
4,evacuate area,,,,,,,,,1,,
4,take shelter,,,,1,,,,,,,
4,prepare and find a safe place,,,1,,,,,,,,
8,look for shelter,,,1,,,,,,,,
8,go to a safe parish,,,,,,,1,,,,
4,stay at home go into closet,,,,,1,,,,,,
4,Monitor the warning and seek shelter if told to do so.,,1,,1,,,,,,,
8,Prepare and leave the site to a safe place,,,1,,,,,,1,,
8,I would look for supplies and blankets and some batteries for the radios while waiting for the natural event to happen.,,,1,,,,,,,,
4,,,,,,,,,,,,1
8,Closely monitor situation,,1,,,,,,,,,
4,drive away,,,,,,,,,1,,
4,I move to shelter,,,,,,,,1,,,
4,Prepare to move to a shelter location in my home.,,,,1,,,,,,,
8,Evacuate and take my loved ones with me outside of the warning area,,,,,,,,,1,,
8,I would ask what my family was doing so that we can all stick together. ,,,1,,,,,,,,
4,i would leave and go opposite of the tornado,,,,,,,,,1,,
4,"Find a shelter, bring food and supplies, bring all my pets and family",,,1,,,,,1,,,
8,if i hear a siren then i'll head to the basement if not i will stay in my apartmen,,,,,1,,,,,,
4,monitor the situation check back later,,1,,,,,,,,,
4,watch news and prepare to move to a shelter,,1,1,,,,,,,,
4,nothing our area isnt prepared for that,1,,,,,,,,,,
4,be cautious ,,,1,,,,,,,,
8,Drive to the next city and stay at a hotel. ,,,,,,,,,1,,
8,I'm looking for a safe refuge,,,1,,,,,,,,
4,have lots of water food stocked,,,1,,,,,,,,
4,"
I would go to where the news inform me",,,,,,,1,,,,
8,stero,,,,,,,,,,,1
8,watch the weather servives,,1,,,,,,,,,
8,Get things together to be prepared to shelter down.,,,1,1,,,,,,,
8,Go to a shelter area and relax,,,,,,,,1,,,
8,I would go home grab whatever I can for a few days and get out of town as soon as possible,,,1,,,,,,1,,
4,stay indoors,,,,1,,,,,,,
8,move,,,,,,,1,,,,
4,Find nearest shelter and make plans to go somewhere else ,,,1,,,,1,,,,
4,Make sure I won't be in the area by the time the tornado hits,,,1,,,,1,,,,
4,Watch out the window.,,1,,,,,,,,,
4,Decide location of protective shelter; identify supplies needed for possible extended period of time.,,,1,,,,,,,,
8,n/a,,,,,,,,,,,1
8,I would leave the area prone to the tornado.,,,,,,,,,1,,
4,shelter in place,,,,1,,,,,,,
4,I would monitor the news intently to see if I need to get into my bathroom for shelter.,,1,,,,,,,,,
4,"carry water food, flashlights, candles, transistor radio & other things to my area",,,1,,,,,,,,
4,Remain at work ,,,,1,,,,,,,
4,Check to see if there is a school or gov't bldg to go to for protection. Go there until tornado is over.,,,,,,,,1,,,
8,Find a shelter to go to for protection.,,,,,,,,1,,,
8,till poeple,,,,,,,,,,,1
8,take cover,,,,1,,,,,,,
8,"Determine if I could leave the area affected. If not, find shelter in place.",,,,,,,,,1,,
8,not applicable,,,,,,,,,,,1
8,Nothing,1,,,,,,,,,,
4,no,,,,,,,,,,,1
4,Check to see where the safest location is and go there.  Drive out of the tornado area.,,,,,,,,,1,,
4,yup yup,,,,,,,,,,,1
4,check the status of the tornado..find out how far out it is..and make plans to seek shelter.,,1,1,,,,,,,,
8,watch the news,,1,,,,,,,,,
8,continue working ,1,,,,,,,,,,
8,Leave the area,,,,,,,,,1,,
8,"Prepare the house for a tornado by closing windows and barring them if possible, and then making sure my family and I will be away from the area when it comes. ",,,1,,,,,,,,
4,call people ,,,1,,,,,,,,
8,Seek shelter in my house,,,,1,,,,,,,
8,will go to a very protected building or omwhere that has underground basement,,,,,,,,1,,,
8,don't know,,,,,,,,,,1,
8,occupy the basement closet,,,,,1,,,,,,
4,Make necessary emergency arrangements leading up to taking shelter,,,1,,,,,,,,
8,"Watch and wait, follow the weather",,1,,,,,,,,,
4,Take protective action based on my location.,,,1,,,,,,,,
8,BASEMENT,,,,,1,,,,,,
8,wait,1,,,,,,,,,,
8,Ensure all of our friends/family that are in the tornado watch zone are safe and then find a protective hunker down.,,,1,1,,,,,,,
8,Move to a safe location and safe place.,,,,,,,,,1,,
8,prepare shelter ,,,1,,,,,,,,
4,monitor the situation,,1,,,,,,,,,
4,Prepare to get survival items and then move to shelter.,,,1,1,,,,,,,
8,go to the safer place,,,,,,,1,,,,
8,grab necessary supplies and head down to the basement ,,,1,,1,,,,,,
4,"Monitor the situation, then take action as necessary.",,1,,,,,,,,,
8,go to the next shelter ,,,,1,,,,,,,
4,Go to my basement and turn on the TV to local news,,1,,,1,,,,,,
8,panic,1,,,,,,,,,,
4,look for a safe place,,,1,,,,,,,,
8,ertfghfdsghj,,,,,,,,,,,1
8,go to somewhere else,,,,,,,1,,,,
8,Nothing,1,,,,,,,,,,
4,Relocate to a safe area.,,,,,,,1,,,,
4,i would immediately seek shelter,,,,1,,,,,,,
8,Evacuate to a safer place,,,,,,,1,,,,
4,leave,,,,,,,1,,,,
4,same,,,,,,,,,,,1
8,"Start moving important belongings to basement or root cellar, make sure family is all ready to go there at a moment's notice. Make sure there is food and water to be had there.",,,1,,,,,,,,
4,I wounld to go to my grandmother house,,,,,,,,1,,,
8,"I would gather together my most important belongings, some clothes, and a bunch of food. Then my husband and I would drive to my parents house as they have a basement. I would feel safer there than at our apartment. ",,,1,,,,,1,,,
4,"I would possibly get my family and drive to the next town, so that we could have a chance of survival.",,,,,,,,,1,,
8,drive as far away from the target location as possible,,,,,,,,,1,,
4,,,,,,,,,,,,1
4,not sure,,,,,,,,,,1,
8,Get out of area and find shelter,,,,,,,,1,,,
8,freak out and figure out what to do next,,,1,,,,,,,,
4,Monitor the situation because most predictions that are 4 hours away are very inaccurate.,,1,,,,,,,,,
4,I'd pay attention to the weather services more.,,1,,,,,,,,,
4,I might leave the area.,,,,,,,,,1,,
4,jbgvhjg bnjbkuvhyjg bnjkbkhv,,,,,,,,,,,1
4,"Gather food, water, and other supplies and go to my basement",,,1,,1,,,,,,
8,buy water and food and go into a safe spot in my home,,,1,1,,,,,,,
8,bgyidbc iehdcu cih cds is h,,,,,,,,,,,1
8,Prepare and continue to watch the weather carefully,,1,1,,,,,,,,
8,prepare precautions/move to a shelter and prepare the best way I can,,,1,1,,,,,,,
4,dab,,,,,,,,,,,1
8,hui0-,,,,,,,,,,,1
8,seek underground shelter,,,,1,,,,,,,
8,,,,,,,,,,,,1
4,go to a protected shelter,,,,,,,,1,,,
8,drive away asap,,,,,,,1,,,,
4,monitor situation with radio or television,,1,,,,,,,,,
4,huhjuio,,,,,,,,,,,1
8,"Watch the situation. If anything happens, go in the basement.",,1,,1,,,,,,,
4,make sure that everything is covered and safe,,,1,,,,,,,,
8,Try and take a car ride out of the area.,,,,,,,,,1,,
8,go into building for cover,,,,1,,,,,,,
8,Look for a safe place,,,1,,,,,,,,
4,clean the outside so there's nothing that can fly into windows,,,1,,,,,,,,
8,prepare to get my family to shelter ,,,1,,,,,,,,
4,I would buy supplies and seek shelter.,,,1,1,,,,,,,
8,i would prepare myself,,,1,,,,,,,,
8,leave my city and seek shelter ,,,,,,,,1,,,
4,Monitor the situation,,1,,,,,,,,,
4,thjmk,,,,,,,,,,,1
8,stay up to date,,1,,,,,,,,,
4,I would gather my loved ones and get out of the tornado area very quickly.,,,1,,,,1,,,,
8,flee,,,,,,,1,,,,
8,hurry to work where there is a shelter,,,,,,,,1,,,
4,notthing,1,,,,,,,,,,
8,yes do this,,,,,,,,,,,1
8,look for instructions on how to proceed,,,1,,,,,,,,
8,call family and friends;  plan to locate shelter area,,,1,,,,,,,,
8,take my cat and drive to a safe location,,,1,,,,1,,,,
4,stay inside at home,,,,1,,,,,,,
8,watch make it nit hit me,,1,,,,,,,,,
8,no comments,,,,,,,,,,,1
4,.,,,,,,,,,,,1
8,"protect myself, family and house",,,1,,,,,,,,
4,move to our basement bathroom shelter,,,,,1,,,,,,
4,not confident,,,,,,,,,,,1
4,get info from our hotlines as to what to do and follow their instructions,,,1,,,,,,,,
4,head to basement,,,,,1,,,,,,
8,run very far away.,,,,,,,1,,,,
8,take shelter,,,,1,,,,,,,
8,find the nearest evacuation center and monitor situation to gauge the likelihood of hitting before leaving,,1,,,,,,1,,,
4,Try to move out the path of the tornado ASAP.,,,,,,,,,1,,
4,Try to find a shelter,,,1,,,,,,,,
4,"continue what I am doing and monitor the situation, have the TV on",,1,,,,,,,,,
4,pray,1,,,,,,,,,,
8,Listen to the news ,,1,,,,,,,,,
8,I would still be alert and keep an eye out on that tornado,,1,,,,,,,,,
8,Prepare the shelter area and remain alert to notifications,,1,1,,,,,,,,
8,"again to the area in house we have set up, with lights and food.",,,1,1,,,,,,,
8,I would start preparing my family take the important papers I need and go seek shelter,,,1,1,,,,,,,
4,Go to a safe place,,,,,,,,1,,,
4,monitor and be prepared to head for shelter,,1,1,,,,,,,,
8,"nothing,  8 hours is a long time",1,,,,,,,,,,
8,I would move somewhere safe.,,,,,,,1,,,,
8,Don't leave the building!,,,,1,,,,,,,
